UPC,Title,Description,Size,Count,Container,Dimensions,Claims,Source_Name,Breadcrumbs,Price,Image_URL,Source_Identifier
002840003345,"Lay's Classic Potato Chips, 10 OZ",,10 oz,1,bag,,,CVS,Grocery > Snacks > Chips & Pretzels,,,480077
002840021906,"Lay's Stax, Original","CRUNCH ON THE GO! Lay's® BRAND StAx® BRAND ORIGINAL TRAY INSIDE HELPS PROTECT CHIPS G F GLUTEN FREE Questions or Comments? 1-800-352-4477 Weekdays 9:00am to 4:30pm Central Time FritoLay® MANUFACTURED FOR: FRITO-LAY, INC. PLANO, TX 75024-4099 (C)2013 FRITO-LAY NORTH AMERICA, INC. Made in Mexico
",2 oz,1,tray,,Gluten-Free,CVS,Grocery > Snacks > Salty Snacks,,,962624
002840042054,"Lay's Classic Potato Chips, 2.75 OZ","Frito Lay Good fun! It all starts with farm-grown potatoes cooked and seasoned to perfection. So every LAY'S potato chip is perfectly and delicious. Happiness in Every Bite. GLUTEN FREE Visit our website fritolay.com Find us on: facebook.com/lays GUARANTEED FRESH Until printed date or this snack's on us.
",2.75 oz,1,bag,,Gluten-Free,CVS,Grocery > Snacks > Chips & Pretzels,,,832252
014005226952,"Lay's Potato Chips, Honey Barbecue Flavored Snacks, 7.75oz Bag","Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
7.75 oz. bag of LAY'S Honey Barbecue Flavored Potato Chips. Sweet barbecue flavor to the LAY'S chips you love. Great bag for stocking up the pantry. Delicious LAY'S crunchy snack",7.75 oz,1,bag,1.5 x 7 x 10.63; inches,,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/91DsDeco4uL._SL1500_.jpg,B00TS9M53E
020231441267,Product of Lays Classic Potato Chips 50 Pk.1 oz.,,1 oz,50,bag,,,Walmart,"Food > Snacks, Cookies & Chips > Chips > Shop All Lay's Potato Chips","29,9",https://i5.walmartimages.com/seo/Product-of-Lays-Classic-Potato-Chips-50-Pk-1-oz_1821eae3-5963-4c0c-9c93-90a014c77043.30f772da17df71b161bcb1971541a268.jpeg,689311569
020241901201,2 Lay's Classics - Pick n' Pack,,,2,bag,,,Walmart,"Food > Snacks, Cookies & Chips > Chips > Shop All Lay's Potato Chips","20,99",https://i5.walmartimages.com/seo/2-Lay-s-Classics-Pick-n-Pack_f79045d9-28f1-46bf-9065-c519e2825d2b.8d7c34ce7973d7b704a65f607bb8330d.jpeg,737189085
020748402218,"Lay's Kettle Cooked Jalapeno Potato Snack Chips, 8 oz Bag",,8 oz,1,bag,,,Walmart,"Food > Snacks, Cookies & Chips > Chips > Lay's Kettle Cooked Chips",,https://i5.walmartimages.com/seo/Lay-s-Kettle-Cooked-Jalapeno-Potato-Snack-Chips-8-oz-Bag_0d290da6-bc92-4bd8-b966-4643b3c1e1f5.86589e9561200d8c7a7351b429a87e0c.jpeg,9919410162
028400000260,Frito Lay® French Onion Dip 8.5 Oz Can,"Delicious, crowd pleasing and convenient - it can't get much better than Frito-Lay chips and dips! From entertaining friends to relaxing at home and everything in between, our perfectly blended salsas and great-tasting dips are always a hit. Mix and match them to discover your own perfect pairing!
",8.5 oz,1,can,,,MASKED,,,,
028400000567,"Lay's Dip Cups, Creamy Ranch, 3.7 Ounce (Pack of 30)","Dip, Creamy Ranch 3.7 oz (104.8 g) Lay's brand Dips - perfect for Lay's brand Chips. Best served chilled. Refrigerate after opening. Contains milk ingredient. 3.7 oz (104.8 g) Plano, TX 75024-4099 800-352-4477 2007 Frito-Lay North America, Inc. * Dip, Creamy Ranch * Lay's brand Dips - perfect for Lay's brand Chips.",3.7 oz,30,cup,,,MASKED,,,,
028400000567,"Lay's Dip Cups, Creamy Ranch, 3.7 Ounce (Pack of 30)","Dip, Creamy Ranch 3.7 oz (104.8 g) Lay's brand Dips - perfect for Lay's brand Chips. Best served chilled. Refrigerate after opening. Contains milk ingredient. 3.7 oz (104.8 g) Plano, TX 75024-4099 800-352-4477 2007 Frito-Lay North America, Inc. * Dip, Creamy Ranch * Lay's brand Dips - perfect for Lay's brand Chips.",3.7 oz,30,cup,,,Kroger,,,https://www.kroger.com/product/images/medium/front/0002840000056,0002840000056
028400000567,"Lay's Dip Cups, Creamy Ranch, 3.7 Ounce (Pack of 30)","Dip, Creamy Ranch 3.7 oz (104.8 g) Lay's brand Dips - perfect for Lay's brand Chips. Best served chilled. Refrigerate after opening. Contains milk ingredient. 3.7 oz (104.8 g) Plano, TX 75024-4099 800-352-4477 2007 Frito-Lay North America, Inc. * Dip, Creamy Ranch * Lay's brand Dips - perfect for Lay's brand Chips.",3.7 oz,30,cup,,,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,"38,4",https://m.media-amazon.com/images/I/7178pZNIykS._SL1500_.jpg,B095F8LXRZ
028400000567,"Lay's Dip Cups, Creamy Ranch, 3.7 Ounce (Pack of 30)","Dip, Creamy Ranch 3.7 oz (104.8 g) Lay's brand Dips - perfect for Lay's brand Chips. Best served chilled. Refrigerate after opening. Contains milk ingredient. 3.7 oz (104.8 g) Plano, TX 75024-4099 800-352-4477 2007 Frito-Lay North America, Inc. * Dip, Creamy Ranch * Lay's brand Dips - perfect for Lay's brand Chips.",3.7 oz,30,cup,,,Walmart,"Food > Snacks, Cookies & Chips > Salsa & Dips > Dips","1,48",https://i5.walmartimages.com/seo/Frito-Lay-Lays-Dip-3-7-oz_1d01c6f5-c677-4ade-bbe6-4d32d57d992a.3754539efa7369a69471e0f5a01be4a2.jpeg,22309170
028400001748,"Lay's® Sour Cream & Onion Flavored Potato Chips, 1.5 oz","Wherever celebrations and good times happen, the LAY'S® brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face. KOSHER Great snack to pair with your lunch sandwich Tasty sour cream &amp; onion flavor for your chips Delicious LAY'S crunchy snack No Artificial Flavors",1.5 oz,1,bag,,Kosher Certified; No Artificial Flavors,MASKED,,,,
028400001748,"Lay's® Sour Cream & Onion Flavored Potato Chips, 1.5 oz","Wherever celebrations and good times happen, the LAY'S® brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face. KOSHER Great snack to pair with your lunch sandwich Tasty sour cream &amp; onion flavor for your chips Delicious LAY'S crunchy snack No Artificial Flavors",1.5 oz,1,bag,,Kosher Certified; No Artificial Flavors,Kroger,,,https://www.kroger.com/product/images/medium/front/0002840000174,0002840000174
028400001939,Lay's Wavy Potato Chips Original 16 Oz,"Wherever celebrations and good times happen, the LAY'S brand will be there just as it has been for more than 75 years. With flavors almost as rich as our history, we have a chip or crisp flavor guaranteed to bring a smile on your face.
",16 oz,1,bag,,,MASKED,,,,
028400002684,"Lay's Potato Chips, Classic, 14.125 Ounce","This classic potato chips start with farm-grown potatoes cooked in all-natural oils with a dash of salt. Every potato chip is perfectly crispy and delicious.
14.125 ounce bag",14.125 oz,1,bag,,,MASKED,,,,
028400002684,"Lay's Potato Chips, Classic, 14.125 Ounce","This classic potato chips start with farm-grown potatoes cooked in all-natural oils with a dash of salt. Every potato chip is perfectly crispy and delicious.
14.125 ounce bag",14.125 oz,1,bag,,,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/81nokYHHyIL._SL1500_.jpg,B005YF4E08
028400002707,"Frito Lay Lays Wavy Potato Chips, 14.125 oz","Chips, Potato, Wavy, Prepriced, Bag 14.2 OZ Choose any 2. Pay one low price! Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Weekdays 9:00 am to 4:30 pm Central Time. Guaranteed fresh until printed date or this snack's on us. Recipe for a Perfect Night: 1. A handful of Lay's Wavy Potato Chips. 2. A sprinkle of rich chocolate chips. 3. 20 seconds in the microwave. Instant sweet & savory gratification. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Facebook. Twitter. No artificial flavors. No preservatives. No MSG. Gluten free. Visit our website at fritolay.com. 14.125 oz (400.4 g) Plano, TX 75024-4099 800-352-4477 2013 Frito-Lay North America, Inc.
* Potato Chips, Original * Choose any 2. Pay one low price! Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Weekdays 9:00 am to 4:30 pm Central Time. Guaranteed fresh until printed date or this snack's on us. Recipe for a Perfect Night: 1. A handful of Lay's Wavy Potato Chips. 2. A sprinkle of rich chocolate chips. 3. 20 seconds in the microwave. Instant sweet & savory gratification. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Facebook. Twitter. No artificial flavors. No preservatives. No MSG. Gluten free. Visit our website at fritolay.com.",14.125 oz,1,bag,,No Artificial Flavors; No Preservatives; MSG-Free; Gluten-Free,Amazon,Grocery & Gourmet Food > Snacks & Sweets > Snack Foods > Chips & Crisps > Potato,,https://m.media-amazon.com/images/I/71JGnfN2xhL._SL1500_.jpg,B00CJOBLL2
028400002707,"Frito Lay Lays Wavy Potato Chips, 14.125 oz","Chips, Potato, Wavy, Prepriced, Bag 14.2 OZ Choose any 2. Pay one low price! Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Weekdays 9:00 am to 4:30 pm Central Time. Guaranteed fresh until printed date or this snack's on us. Recipe for a Perfect Night: 1. A handful of Lay's Wavy Potato Chips. 2. A sprinkle of rich chocolate chips. 3. 20 seconds in the microwave. Instant sweet & savory gratification. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Facebook. Twitter. No artificial flavors. No preservatives. No MSG. Gluten free. Visit our website at fritolay.com. 14.125 oz (400.4 g) Plano, TX 75024-4099 800-352-4477 2013 Frito-Lay North America, Inc.
* Potato Chips, Original * Choose any 2. Pay one low price! Guaranteed fresh until printed date. Questions or comments? 1-800-352-4477. Weekdays 9:00 am to 4:30 pm Central Time. Guaranteed fresh until printed date or this snack's on us. Recipe for a Perfect Night: 1. A handful of Lay's Wavy Potato Chips. 2. A sprinkle of rich chocolate chips. 3. 20 seconds in the microwave. Instant sweet & savory gratification. Lay's Wavy Chips: A lotta bit of yum in every bite. Connect with us. Facebook. Twitter. No artificial flavors. No preservatives. No MSG. Gluten free. Visit our website at fritolay.com.",14.125 oz,1,bag,,No Artificial Flavors; No Preservatives; MSG-Free; Gluten-Free,MASKED,,,,
